date,nav,daily_growth_pct,acc_nav,source
2026-04-23,1.2726,-0.57,,danjuanfunds
2026-04-24,1.2611,-0.9,,danjuanfunds
2026-04-27,1.2617,0.05,,danjuanfunds
2026-04-28,1.2554,-0.5,,danjuanfunds
2026-04-29,1.2677,0.98,,danjuanfunds
2026-04-30,1.262,-0.45,,danjuanfunds
2026-05-06,1.2758,1.09,,danjuanfunds
2026-05-07,1.2817,0.46,,danjuanfunds
2026-05-08,1.2774,-0.34,,danjuanfunds
2026-05-11,1.2956,1.42,,danjuanfunds
2026-05-12,1.2941,-0.12,,danjuanfunds
2026-05-13,1.3073,1.02,,danjuanfunds
2026-05-14,1.2836,-1.81,,danjuanfunds
2026-05-15,1.2641,-1.52,,danjuanfunds
2026-05-18,1.2608,-0.26,,danjuanfunds
2026-05-19,1.2684,0.6,,danjuanfunds
2026-05-20,1.276,0.6,,danjuanfunds
2026-05-21,1.2503,-2.01,,danjuanfunds
2026-05-22,1.2759,2.05,,danjuanfunds
2026-05-25,1.2957,1.55,,danjuanfunds
